legacy_file,objects_created,source_schema,source_table,prod_exists,canonical_copy_in_db_migrations,is_self_contained_idempotent_grants,action,safe_to_delete,proof_query
apps/backend/src/migrations/0392-auto-deductions.sql,"driver_finance.auto_deduction_policies; ALTER payroll.driver_settlement_line_items (add auto_deduction_policy_id); ALTER driver_finance.settlement_lines (add auto_deduction_policy_id + update CHECK)",driver_finance,auto_deduction_policies,N,N — 0094 is unrelated (creates load_abandonments),Y — IF NOT EXISTS + explicit GRANT SELECT/INSERT/UPDATE to ih35_app,COPY-AND-APPLY → db/migrations/202606281000_auto_deduction_policies.sql,N — no canonical copy exists yet,SELECT to_regclass('driver_finance.auto_deduction_policies')
apps/backend/src/migrations/0394-team-splits.sql,"settlements.team_split_configs; settlements.team_split_load_overrides; CREATE SCHEMA IF NOT EXISTS settlements; ALTER payroll.driver_settlement_line_items (add split_partner_driver_id)",settlements,"team_split_configs, team_split_load_overrides",N (both tables ABSENT — GUARD VQ1),N,Y — IF NOT EXISTS + explicit GRANT SELECT/INSERT/UPDATE/DELETE to ih35_app on both tables,COPY-AND-APPLY → db/migrations/202606281010_team_split_configs.sql (MUST include both CREATE TABLE blocks),N — no canonical copy exists yet,"SELECT to_regclass('settlements.team_split_configs'), to_regclass('settlements.team_split_load_overrides')"
apps/backend/src/migrations/0395-road-service-tickets.sql,maintenance.road_service_tickets,maintenance,road_service_tickets,N,N,Y — IF NOT EXISTS + explicit GRANT SELECT/INSERT/UPDATE/DELETE to ih35_app,COPY-AND-APPLY → db/migrations/202606281020_road_service_tickets.sql,N — no canonical copy exists yet,SELECT to_regclass('maintenance.road_service_tickets')
apps/backend/src/migrations/202606080241-payroll-integration-cache.sql,"payroll_integration SCHEMA; payroll_integration.aggregate_cache",payroll_integration,aggregate_cache,N (schema + table both ABSENT — GUARD VQ1),N,Y — CREATE SCHEMA IF NOT EXISTS + GRANT USAGE on schema + GRANT SELECT/INSERT/UPDATE/DELETE on table,COPY-AND-APPLY → db/migrations/202606281040_payroll_integration_cache.sql,N — no canonical copy exists yet,"SELECT to_regclass('payroll_integration.aggregate_cache'), (SELECT count(*) FROM information_schema.schemata WHERE schema_name='payroll_integration')"
apps/backend/src/migrations/202606080242-maintenance-parts-catalog.sql,mdata.maintenance_parts,mdata,maintenance_parts,N,N,Y — IF NOT EXISTS + explicit GRANT SELECT/INSERT/UPDATE/DELETE to ih35_app,COPY-AND-APPLY → db/migrations/202606281030_maintenance_parts_catalog.sql,N — no canonical copy exists yet,SELECT to_regclass('mdata.maintenance_parts')
apps/backend/src/migrations/0393-settlement-disputes.sql,settlements.settlement_disputes,settlements,settlement_disputes,Y — EXISTS on prod (G2 GUARD VQ1),Y — db/migrations/0393_settlement_disputes.sql,Y,ALREADY-APPLIED-DELETE-LATER,Y — precondition: confirm canonical text identical to legacy,SELECT to_regclass('settlements.settlement_disputes')
apps/backend/src/migrations/0396-archive-test-users.sql,"migration.test_seed_archive_ledger_0396; ALTER identity.users (add archived_at + archived_reason columns)",migration,test_seed_archive_ledger_0396,VERIFY — run VQ1,Y — db/migrations/0396_archive_test_users.sql,Y — IF NOT EXISTS guards + conditional DO block,ALREADY-APPLIED-DELETE-LATER,Y — after VQ1 confirms object on prod,SELECT to_regclass('migration.test_seed_archive_ledger_0396')
apps/backend/src/migrations/0403-onboarding-state.sql,"onboarding SCHEMA; onboarding.onboarding_state; ALTER mdata.customers/vendors/drivers/units/loads (add is_sample_data boolean)",onboarding,onboarding_state,VERIFY — run VQ1,Y — db/migrations/0403_onboarding_state.sql,Y — IF NOT EXISTS + explicit GRANT SELECT/INSERT/UPDATE to ih35_app,ALREADY-APPLIED-DELETE-LATER,Y — after VQ1 confirms onboarding.onboarding_state on prod,SELECT to_regclass('onboarding.onboarding_state')
apps/backend/src/migrations/202606080243-maintenance-services-catalog.sql,mdata.maintenance_services,mdata,maintenance_services,VERIFY — run VQ1,Y — db/migrations/202606210000_maintenance_services_catalog_table.sql (same table different timestamp name),Y — IF NOT EXISTS + explicit GRANT SELECT/INSERT/UPDATE/DELETE to ih35_app,ALREADY-APPLIED-DELETE-LATER,Y — after VQ1 confirms mdata.maintenance_services on prod + confirm canonical covers same columns,SELECT to_regclass('mdata.maintenance_services')
apps/backend/src/migrations/202606080244-usmca-activation-state.sql,"usmca_ops SCHEMA; usmca_ops.activation_state; usmca_ops.activation_audit",usmca_ops,"activation_state, activation_audit",Y — BOTH EXIST on prod (GUARD VQ1),Y — db/migrations/202606080244_usmca_ops_schema_grant.sql (creates schema + both tables + grants + RLS + seed),Y — IF NOT EXISTS + explicit GRANTs + RLS policies,ALREADY-APPLIED-DELETE-LATER,Y — PROVABLY SAFE: canonical creates same objects; both tables confirmed on prod by GUARD VQ1,"SELECT to_regclass('usmca_ops.activation_state'), to_regclass('usmca_ops.activation_audit')"
apps/backend/migrations/0167_p7_block_e_notif_prefs.sql,"ADD COLUMN identity.users.onboarding_completed_at; identity.user_notification_preferences (CREATE IF NOT EXISTS); ADD COLUMNs channels/event_overrides/quiet_hours_start/quiet_hours_end/timezone",identity,user_notification_preferences,VERIFY — run VQ1,Y — db/migrations/0167_p7_block_e_notif_prefs.sql,Y — IF NOT EXISTS + GRANT to PUBLIC,ALREADY-APPLIED-DELETE-LATER,Y — after VQ1 confirms identity.user_notification_preferences on prod,SELECT to_regclass('identity.user_notification_preferences')
