sku,part_name,manufacturer,model_compatibility,category,sub_category,typical_unit_cost_cents,barcode_upc
CU-ISX-TURBO-001,ISX Holset Turbocharger,Cummins,"ISX15",engine,turbocharger,295000,
CU-ISX-INJECTOR-001,ISX Fuel Injector,Cummins,"ISX15",fuel_system,fuel_injector,48000,
CU-ISX-EGRCOOLER-001,ISX EGR Cooler,Cummins,"ISX15",exhaust,egr,185000,
CU-ISX-DPFFILTER-001,ISX DPF Filter Assembly,Cummins,"ISX15",exhaust,dpf,68000,
CU-ISX-DOSER-001,ISX DEF Doser Valve,Cummins,"ISX15",exhaust,scr,22000,
CU-ISX-SCRCAT-001,ISX SCR Catalyst,Cummins,"ISX15",exhaust,scr,95000,
CU-ISX-WATERPUMP-001,ISX Water Pump,Cummins,"ISX15",cooling,water_pump,40000,
CU-ISX-OILFILT-001,ISX Oil Filter,Cummins,"ISX15",filter,oil_filter,2500,
CU-ISX-FUELFILT-001,ISX Fuel Filter Primary,Cummins,"ISX15",filter,fuel_filter,3400,
CU-ISX-FUELFILT-002,ISX Fuel Filter Secondary,Cummins,"ISX15",filter,fuel_filter,2900,
CU-ISX-AIRFILT-001,ISX Air Filter,Cummins,"ISX15",filter,air_filter,5500,
CU-X15-TURBO-001,X15 Turbocharger Assembly,Cummins,"X15",engine,turbocharger,320000,
CU-X15-INJECTOR-001,X15 Fuel Injector,Cummins,"X15",fuel_system,fuel_injector,55000,
CU-X15-EGRCOOLER-001,X15 EGR Cooler,Cummins,"X15",exhaust,egr,198000,
CU-X15-DPFFILTER-001,X15 DPF Filter,Cummins,"X15",exhaust,dpf,74000,
CU-X15-OILFILT-001,X15 Oil Filter,Cummins,"X15",filter,oil_filter,2700,
CU-X15-FUELFILT-001,X15 Fuel Filter Kit,Cummins,"X15",filter,fuel_filter,5200,
CU-ISL-TURBO-001,ISL Turbocharger,Cummins,"ISL9",engine,turbocharger,225000,
CU-ISL-INJECTOR-001,ISL Fuel Injector,Cummins,"ISL9",fuel_system,fuel_injector,38000,
CU-ISL-EGRCOOLER-001,ISL EGR Cooler,Cummins,"ISL9",exhaust,egr,145000,
CU-ISL-WATERPUMP-001,ISL Water Pump,Cummins,"ISL9",cooling,water_pump,32000,
CU-ISL-OILFILT-001,ISL Oil Filter,Cummins,"ISL9",filter,oil_filter,2200,
CU-COMMON-STARTER,Starter Motor Cummins,Cummins,"ISX15,X15,ISL9",electrical,starter,42000,
CU-COMMON-ALTERNATOR,Alternator 160A Cummins,Cummins,"ISX15,X15,ISL9",electrical,alternator,58000,
CU-COMMON-FANCLUTCH,Fan Clutch Cummins,Cummins,"ISX15,X15,ISL9",cooling,fan_clutch,34000,
CU-COMMON-HEADGASKET,Head Gasket Set Cummins,Cummins,"ISX15,X15",engine,gasket,35000,
CU-COMMON-THERMO,Thermostat Cummins,Cummins,"ISX15,X15,ISL9",cooling,thermostat,2200,
CU-COMMON-OILCOOLER,Oil Cooler Cummins,Cummins,"ISX15,X15",engine,oil_cooler,52000,
CU-COMMON-OILPRESSURE,Oil Pressure Sensor Cummins,Cummins,"ISX15,X15,ISL9",engine,sensor,1600,
CU-COMMON-CAMSHAFT,Camshaft Follower Kit,Cummins,"ISX15,X15",engine,valve_train,9800,
CU-COMMON-CRANKSHAFT,Crankshaft Seal Kit,Cummins,"ISX15,X15",engine,seal,4200,
CU-ISX-ROCKER,ISX Rocker Arm Assembly,Cummins,"ISX15",engine,valve_train,12000,
CU-X15-ROCKER,X15 Rocker Arm Assembly,Cummins,"X15",engine,valve_train,14000,
CU-COMMON-MAINSEAL,Main Crankshaft Seal,Cummins,"ISX15,X15,ISL9",engine,seal,2200,
CU-COMMON-INTSEAL,Intake Manifold Gasket,Cummins,"ISX15,X15,ISL9",engine,gasket,1800,
CU-COMMON-INTERCOOLER,Intercooler Cummins,Cummins,"ISX15,X15",cooling,intercooler,72000,
CU-COMMON-TIMINGKIT,Timing Kit Cummins,Cummins,"ISX15,X15",engine,timing,48000,
CU-COMMON-ALTERNBELT,Alternator Belt,Cummins,"ISX15,X15,ISL9",engine,belt,2100,
CU-COMMON-IDLER,Idler Pulley Cummins,Cummins,"ISX15,X15,ISL9",engine,pulley,2900,
CU-COMMON-TENSIONER,Belt Tensioner Cummins,Cummins,"ISX15,X15,ISL9",engine,tensioner,3800,
CU-COMMON-EGRACTVALV,EGR Actuator Valve,Cummins,"ISX15,X15",exhaust,egr,16500,
CU-ISX-CYLBLOCK,ISX Cylinder Block Heater,Cummins,"ISX15",engine,heater,8500,
CU-X15-CYLBLOCK,X15 Cylinder Block Heater,Cummins,"X15",engine,heater,9200,
CU-COMMON-INJCUP,Injector Cup Kit,Cummins,"ISX15,X15",fuel_system,injector_cup,9800,
CU-COMMON-FUELPUMP,Fuel Pump Cummins,Cummins,"ISX15,X15,ISL9",fuel_system,fuel_pump,38000,
CU-COMMON-FUELPRES,Fuel Pressure Sensor,Cummins,"ISX15,X15,ISL9",fuel_system,sensor,2400,
CU-COMMON-AIRCMPRS,Air Compressor,Cummins,"ISX15,X15",engine,air_compressor,88000,
CU-COMMON-POWERDIVID,Power Divider,Cummins,"ISX15",engine,driveline,35000,
CU-COMMON-VIBDAMP,Vibration Damper,Cummins,"ISX15,X15,ISL9",engine,damper,22000,
CU-COMMON-FLYWHL,Flywheel Ring Gear,Cummins,"ISX15,X15,ISL9",engine,flywheel,18000,
CU-COMMON-CRNKBRG,Crankshaft Bearing Set,Cummins,"ISX15,X15",engine,bearings,14500,
CU-COMMON-CONROD,Connecting Rod Bearing,Cummins,"ISX15,X15",engine,bearings,8200,
CU-COMMON-PISTON,Piston Assembly Kit,Cummins,"ISX15,X15",engine,piston,28000,
CU-COMMON-COOLANTSENS,Coolant Temp Sensor,Cummins,"ISX15,X15,ISL9",cooling,sensor,1900,
CU-COMMON-TACHOSENS,Tachometer/Speed Sensor,Cummins,"ISX15,X15,ISL9",electrical,sensor,2600,
CU-COMMON-MAPSENSR,MAP Sensor,Cummins,"ISX15,X15,ISL9",electrical,sensor,2000,
CU-COMMON-OXYSENS,Oxygen/NOx Sensor,Cummins,"ISX15,X15",exhaust,sensor,12000,
CU-COMMON-ECULECT,ECU/ECM Unit,Cummins,"ISX15,X15,ISL9",electrical,ecu,220000,
CU-COMMON-HPFUELPUMP,High Pressure Fuel Pump,Cummins,"ISX15,X15",fuel_system,fuel_pump,68000,
CU-ISL-OILCOOLER,Oil Cooler ISL,Cummins,"ISL9",engine,oil_cooler,38000,
CU-ISL-TIMINGKIT,Timing Kit ISL,Cummins,"ISL9",engine,timing,32000,
CU-ISL-AIRFILT-001,ISL Air Filter,Cummins,"ISL9",filter,air_filter,4800,
CU-ISL-HEADGASKET,ISL Head Gasket,Cummins,"ISL9",engine,gasket,26000,
CU-COMMON-FANBLAD,Fan Blade Assembly,Cummins,"ISX15,X15,ISL9",cooling,fan,22000,
CU-COMMON-THERMHOUS,Thermostat Housing,Cummins,"ISX15,X15,ISL9",cooling,housing,9200,
CU-COMMON-WATOULET,Water Outlet,Cummins,"ISX15,X15,ISL9",cooling,outlet,4800,
CU-COMMON-OILDRAIN,Oil Drain Plug Kit,Cummins,"ISX15,X15,ISL9",engine,drain,850,
CU-COMMON-HOSEKIT,Coolant Hose Kit,Cummins,"ISX15,X15",cooling,hose,12500,
CU-COMMON-MOUNTKIT,Engine Mount Kit,Cummins,"ISX15,X15,ISL9",engine,mount,14000,
CU-COMMON-SUPPLYLINE,Fuel Supply Line Kit,Cummins,"ISX15,X15",fuel_system,line,6500,
CU-COMMON-RETRN,Fuel Return Line Kit,Cummins,"ISX15,X15",fuel_system,line,5800,
