Requirement ID,Module,Source (WF / User Req / Cursor / Walkthrough),Description,API Endpoint(s),DB Table(s) / Schema,Audit Event(s),Permission Action,WF-064?,Test ID(s),Spec Section
REQ-IDENT-001,identity,WF-024,Successful login creates session and returns user payload,POST /api/auth/login,identity.users + identity.sessions,identity.login_succeeded,n/a (public),no,T-130.1,7.1.4
REQ-IDENT-002,identity,WF-024 + Email-Enum Defense,Login with wrong password returns generic E_LOGIN_INVALID_CREDENTIALS,POST /api/auth/login,identity.users,identity.login_failed (reason=invalid_credentials),n/a (public),no,T-130.2,7.1.5.7
REQ-IDENT-003,identity,WF-024 + Email-Enum Defense,Login with non-existent email returns same generic message and >=200ms response,POST /api/auth/login,identity.users,identity.login_failed (reason=email_unknown),n/a (public),no,T-130.3,7.1.5.7
REQ-IDENT-004,identity,WF-024 + Part 4.1.2.5,5 failed logins in 15min triggers 30min lockout,POST /api/auth/login,identity.users (locked_until),identity.lockout_triggered,n/a (public),no,T-130.4,7.1.5.6
REQ-IDENT-005,identity,WF-024 + Part 4.1.2.5,Successful login after lockout window resets failed_login_count,POST /api/auth/login,identity.users,identity.login_succeeded + identity.lockout_cleared,n/a (public),no,T-130.5,7.1.5.6
REQ-IDENT-006,identity,WF-024,Logout clears session cookie and records logout event,POST /api/auth/logout,identity.sessions,identity.logout,authenticated user,no,T-130.6,7.1.4
REQ-IDENT-007,identity,WF-024 + Part 4.1.2.1,Driver-role user requires linked_driver_uuid,POST /api/admin/users,identity.users + master_data.drivers,identity.user_created,identity.user.create,no,T-130.7,7.1.5.3
REQ-IDENT-008,identity,WF-024 + Part 4.1.2.2,Non-driver-role user must NOT have linked_driver_uuid,POST /api/admin/users,identity.users,identity.user_created,identity.user.create,no,T-130.8,7.1.5.3
REQ-IDENT-009,identity,WF-024 + 7.1.5.3,Cannot link two users to the same driver,POST /api/admin/users,identity.users + master_data.drivers,n/a (validation rejection),identity.user.create,no,T-130.9,7.1.5.3
REQ-IDENT-010,identity,Part 4.1.2 unique index,Email already in use rejected,POST /api/admin/users,identity.users (email_normalized unique),n/a (validation rejection),identity.user.create,no,T-130.10,Part 4.1.2
REQ-IDENT-011,identity,WF-064 + Part 6.8.2,Role change emits identity.user_role_changed warning + WF-064 Owner notification,PATCH /api/admin/users/{uuid},identity.users,identity.user_role_changed,identity.user.role_change,yes,T-130.11,Part 6.8.2 + 7.1.9
REQ-IDENT-012,identity,WF-064 + 7.1.5.3,Admin cannot promote to Owner; emits identity.user_role_change_blocked,PATCH /api/admin/users/{uuid},identity.users,identity.user_role_change_blocked,identity.user.role_change,yes,T-130.12,7.1.5.3
REQ-IDENT-013,identity,Part 4.0.2.2,Optimistic concurrency via version mismatch returns E_VERSION_CONFLICT,PATCH /api/admin/users/{uuid},identity.users (version),n/a,identity.user.update,no,T-130.13,Part 4.0.2.2
REQ-IDENT-014,identity,WF-064 + Part 6.8.2,Deactivate user revokes sessions and emits identity.user_deactivated,POST /api/admin/users/{uuid}/deactivate,identity.users (status=deactivated) + identity.sessions,identity.user_deactivated,identity.user.deactivate,yes,T-130.14,Part 6.8.2 + 7.1.5.4
REQ-IDENT-015,identity,WF-064 + 7.1.5.4,Last Owner cannot be deactivated; emits identity.user_deactivation_blocked,POST /api/admin/users/{uuid}/deactivate,identity.users,identity.user_deactivation_blocked,identity.user.deactivate,yes,T-130.15,7.1.5.4
REQ-IDENT-016,identity,WF-064 + 7.1.5.5,Owner can grant permanent permission with reason,POST /api/admin/users/{uuid}/permissions/grant,identity.permission_grants,identity.permission_granted,identity.permission.grant,yes,T-130.16,7.1.5.5
REQ-IDENT-017,identity,WF-064 + 7.1.5.5,Admin permanent grant blocked; emits identity.permission_grant_blocked,POST /api/admin/users/{uuid}/permissions/grant,identity.permission_grants,identity.permission_grant_blocked,identity.permission.grant,yes,T-130.17,7.1.5.5
REQ-IDENT-018,identity,7.1.5.5,Grant duration max 90 days,POST /api/admin/users/{uuid}/permissions/grant,identity.permission_grants,n/a (validation rejection),identity.permission.grant,no,T-130.18,7.1.5.5
REQ-IDENT-019,identity,WF-024 + Part 4.1.3.1,Driver SELECT another driver returns empty result via RLS not 403,GET /api/admin/users (driver caller),identity.users,n/a,identity.user.list,no,T-130.19,Part 4.1.3.1
REQ-IDENT-020,identity,7.1.7,Manager cannot create users,POST /api/admin/users,n/a,n/a,identity.user.create,no,T-130.20,7.1.7
REQ-IDENT-021,identity,7.1.2.5,Profile self-update of phone allowed for any role,PATCH /api/profile,identity.users (phone),identity.user_updated,identity.user.update.self,no,T-130.21,7.1.2.5
REQ-IDENT-022,identity,7.1.7,User cannot self-elevate role via profile,PATCH /api/profile,n/a,n/a,identity.user.update.self,no,T-130.22,7.1.7
REQ-IDENT-023,identity,7.1.2.5.3,Self password change invalidates all OTHER sessions,PATCH /api/profile (password),identity.sessions + identity.users,identity.password_changed,identity.user.update.self,no,T-130.23,7.1.2.5.3
REQ-IDENT-024,identity,7.1.5.2,HIBP-compromised passwords rejected,POST /api/admin/users + PATCH /api/profile (password),n/a,n/a,n/a (validation),no,T-130.24,7.1.5.2
REQ-IDENT-025,identity,7.1.5.2,Password matching email/name rejected,POST /api/admin/users + PATCH /api/profile,n/a,n/a,n/a (validation),no,T-130.25,7.1.5.2
REQ-IDENT-026,identity,7.1.5.7,Login response time always >=200ms (constant-time defense),POST /api/auth/login,n/a,n/a,n/a (public),no,T-130.26,7.1.5.7
REQ-IDENT-027,identity,Part 4.0.5.4 + Part 4.1.3,Driver cannot SELECT audit_events,GET /api/audit/events (driver caller),audit.audit_events,n/a,audit.read,no,T-130.27,Part 4.0.5.4
REQ-IDENT-028,identity,Part 4.9.3.2,Direct INSERT to audit.audit_events bypassing append_event() blocked by RLS,n/a (DB-level),audit.audit_events,n/a,n/a (DB),no,T-130.28,Part 4.9.3.2
REQ-IDENT-029,identity,Part 4.9.3.1,UPDATE on audit.audit_events blocked by RLS for all roles,n/a (DB-level),audit.audit_events,n/a,n/a (DB),no,T-130.29,Part 4.9.3.1
REQ-IDENT-030,identity,Part 4.9.3.1,DELETE on audit.audit_events blocked by RLS for all roles,n/a (DB-level),audit.audit_events,n/a,n/a (DB),no,T-130.30,Part 4.9.3.1
REQ-IDENT-031,identity,Part 6.8 + WF-064,All 4 WF-064 actions display lightning-bolt icon per Part 6.4.2.5,UI rendering,n/a,n/a,n/a (UI),yes,T-130.31,Part 6.8.1.1
REQ-IDENT-032,identity,Part 6.4.5.4 + WF-064,All 4 WF-064 actions trigger 2-step confirmation modal with typed phrase,UI rendering,n/a,n/a,n/a (UI),yes,T-130.32,Part 6.4.5.4
