service_code,service_name,service_category,applies_to_type,interval_miles,interval_months,interval_hours,is_safety_critical,typical_duration_hours,typical_cost_cents,compliance_ref
REEFER-PM-500H,Reefer Oil Change (500hr interval),Reefer PM,reefer,,,500,false,1.5,22000,
REEFER-PM-2500H,Reefer 2500-Hour Service,Reefer PM,reefer,,,2500,false,4,55000,
REEFER-PM-5000H,Reefer 5000-Hour Major Service,Reefer PM,reefer,,,5000,false,8,120000,
REEFER-PM-COMP-5K,Reefer Compressor Service (5k hours),Reefer PM,reefer,,,5000,false,6,185000,
REEFER-PM-GASKET-10K,Reefer Gasket Kit Replacement (10k hours),Reefer PM,reefer,,,10000,false,8,65000,
REEFER-PM-REBUILD-25K,Full Reefer Rebuild (25k hours),Reefer PM,reefer,,,25000,false,40,850000,
REEFER-PM-BELTS-2500H,Reefer Belt Kit Replacement,Reefer PM,reefer,,,2500,false,2,18000,
REEFER-PM-FILTERS-500H,Reefer Filter Kit Change,Reefer PM,reefer,,,500,false,0.5,8000,
REEFER-PM-ANNUAL,Reefer Annual Inspection,Reefer Compliance,reefer,,12,,true,3,25000,
REEFER-PM-DEFROST,Defrost System Check,Reefer PM,reefer,,,2500,false,1,12000,
REEFER-PM-TEMP-SENS,Temperature Sensor Calibration,Reefer PM,reefer,,,2500,false,1,8000,
REEFER-PM-CONDENSER,Condenser Coil Cleaning,Reefer PM,reefer,,,1000,false,1.5,12000,
REEFER-PM-EVAPORATOR,Evaporator Coil Cleaning,Reefer PM,reefer,,,2500,false,2,18000,
REEFER-PM-FUEL-FILT,Reefer Fuel Filter Change,Reefer PM,reefer,,,500,false,0.5,5000,
REEFER-PM-COOLANT,Reefer Coolant Flush,Reefer PM,reefer,,,5000,false,2,18000,
REEFER-REP-COMPRESSOR,Reefer Compressor Replacement,Reefer Repair,reefer,,,false,12,350000,
REEFER-REP-EVAPMOTOR,Evaporator Fan Motor Replacement,Reefer Repair,reefer,,,false,3,28000,
REEFER-REP-CONDMOTOR,Condenser Fan Motor Replacement,Reefer Repair,reefer,,,false,3,32000,
REEFER-REP-CONTROLLER,Reefer Controller Board Replacement,Reefer Repair,reefer,,,false,4,85000,
REEFER-REP-TEMPPROBE,Temperature Probe Replacement,Reefer Repair,reefer,,,false,1,12000,
REEFER-REP-DOORSGASKET,Door Seal & Gasket Replacement,Reefer Repair,reefer,,,false,2,18000,
REEFER-REP-FREON,Refrigerant Recharge,Reefer Repair,reefer,,,false,2,28000,
